Dates,12MTH_IMPVOL_100.0%MNY_DF.12,PX_LAST.12
9/30/2002,,58.31
10/1/2002,,61.17
10/2/2002,,59.63
10/3/2002,,60.0
10/4/2002,,56.6
10/7/2002,,56.86
10/8/2002,,57.05
10/9/2002,,55.07
10/10/2002,,57.58
10/11/2002,,63.92
10/14/2002,,63.42
10/15/2002,,68.48
10/16/2002,,64.9
10/17/2002,,72.2
10/18/2002,,74.25
10/21/2002,,75.55
10/22/2002,,74.49
10/23/2002,,74.6
10/24/2002,,72.1
10/25/2002,,74.56
10/28/2002,,76.56
10/29/2002,,76.74
10/30/2002,,78.67
10/31/2002,,78.94
11/1/2002,,80.4
11/4/2002,,82.5
11/5/2002,,81.68
11/6/2002,,81.54
11/7/2002,,78.95
11/8/2002,,77.59
11/11/2002,,77.29
11/12/2002,,79.15
11/13/2002,,79.35
11/14/2002,,80.72
11/15/2002,,80.01
11/18/2002,,79.18
11/19/2002,,78.37
11/20/2002,,81.61
11/21/2002,,84.9
11/22/2002,,84.43
11/25/2002,,86.2
11/26/2002,,85.06
11/27/2002,,87.7
11/28/2002,,87.7
11/29/2002,,86.92
12/2/2002,,87.3
12/3/2002,,85.21
12/4/2002,,83.69
12/5/2002,,83.06
12/6/2002,,82.32
12/9/2002,,79.59
12/10/2002,,80.8
12/11/2002,,81.44
12/12/2002,,80.17
12/13/2002,,80.0
12/16/2002,,81.62
12/17/2002,,80.31
12/18/2002,,79.13
12/19/2002,,78.66
12/20/2002,,79.79
12/23/2002,,80.26
12/24/2002,,79.76
12/25/2002,,79.76
12/26/2002,,78.5
12/27/2002,,77.36
12/30/2002,,76.25
12/31/2002,,77.5
1/1/2003,,77.5
1/2/2003,,80.57
1/3/2003,,81.65
1/6/2003,,83.59
1/7/2003,,86.0
1/8/2003,,84.19
1/9/2003,,87.0
1/10/2003,,87.68
1/13/2003,,87.51
1/14/2003,,88.58
1/15/2003,,87.59
1/16/2003,,86.05
1/17/2003,,81.3
1/20/2003,,81.3
1/21/2003,,80.54
1/22/2003,,79.7
1/23/2003,,81.05
1/24/2003,,78.99
1/27/2003,,78.42
1/28/2003,,80.11
1/29/2003,,80.32
1/30/2003,,78.3
1/31/2003,,78.2
2/3/2003,,78.18
2/4/2003,,77.09
2/5/2003,,77.26
2/6/2003,,77.51
2/7/2003,,77.1
2/10/2003,,77.91
2/11/2003,,77.39
2/12/2003,,76.5
2/13/2003,,75.86
2/14/2003,,77.45
2/17/2003,,77.45
2/18/2003,,79.33
2/19/2003,,79.51
2/20/2003,,79.04
2/21/2003,,79.95
2/24/2003,,78.56
2/25/2003,,79.07
2/26/2003,,77.4
2/27/2003,,77.28
2/28/2003,,77.95
3/3/2003,,77.33
3/4/2003,,76.7
3/5/2003,,77.73
3/6/2003,,77.07
3/7/2003,,77.9
3/10/2003,,75.7
3/11/2003,,75.35
3/12/2003,,75.18
3/13/2003,,78.45
3/14/2003,,79.0
3/17/2003,,82.46
3/18/2003,,82.47
3/19/2003,,82.0
3/20/2003,,82.2
3/21/2003,,84.9
3/24/2003,,82.25
3/25/2003,,83.45
3/26/2003,,81.55
3/27/2003,,81.45
3/28/2003,,80.85
3/31/2003,,78.43
4/1/2003,,78.73
4/2/2003,,81.46
4/3/2003,,81.91
4/4/2003,,80.79
4/7/2003,,80.47
4/8/2003,,80.07
4/9/2003,,78.71
4/10/2003,,79.01
4/11/2003,,78.75
4/14/2003,,80.07
4/15/2003,,82.79
4/16/2003,,82.88
4/17/2003,,84.26
4/18/2003,,84.26
4/21/2003,,83.36
4/22/2003,,85.63
4/23/2003,,85.75
4/24/2003,,85.2
4/25/2003,,83.88
4/28/2003,,85.12
4/29/2003,,85.66
4/30/2003,,84.9
5/1/2003,,85.89
5/2/2003,,87.57
5/5/2003,,86.52
5/6/2003,,87.51
5/7/2003,,86.68
5/8/2003,,86.05
5/9/2003,,87.55
5/12/2003,,89.0
5/13/2003,,89.98
5/14/2003,,88.7
5/15/2003,,89.9
5/16/2003,,88.99
5/19/2003,,86.45
5/20/2003,,85.77
5/21/2003,,86.18
5/22/2003,,86.08
5/23/2003,,85.26
5/26/2003,,85.26
5/27/2003,,87.69
5/28/2003,,87.57
5/29/2003,,87.36
5/30/2003,,88.04
6/2/2003,,87.33
6/3/2003,,83.82
6/4/2003,,84.25
6/5/2003,,81.9
6/6/2003,,80.05
6/9/2003,,82.0
6/10/2003,,81.71
6/11/2003,,83.97
6/12/2003,,83.95
6/13/2003,,82.75
6/16/2003,,84.5
6/17/2003,,84.3
6/18/2003,,84.7
6/19/2003,,84.55
6/20/2003,,84.92
6/23/2003,,83.18
6/24/2003,,83.63
6/25/2003,,82.49
6/26/2003,,84.35
6/27/2003,,83.42
6/30/2003,,82.5
7/1/2003,,83.59
7/2/2003,,84.74
7/3/2003,,83.95
7/4/2003,,83.95
7/7/2003,,86.09
7/8/2003,,86.25
7/9/2003,,85.47
